"","age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
"25",52,"Female","US",3,4,2,4,4,2,4,5,4,3,4,2,4,4,4,0.6,0.67,0.87,0.6,0.8
"26",19,"Female","GR",1,2,2,5,4,3,4,5,4,4,5,2,5,5,5,0.33,0.8,0.87,0.73,1
"27",48,"Male","US",5,4,5,3,4,3,5,4,5,2,2,5,5,4,5,0.93,0.67,0.93,0.6,0.93
"28",22,"Male","US",3,4,2,4,4,2,2,3,3,3,3,3,4,3,3,0.6,0.67,0.53,0.6,0.67
"29",17,"Female","US",2,3,2,5,5,4,5,4,3,2,3,3,3,3,5,0.47,0.93,0.8,0.53,0.73
"30",37,"Male","DK",3,3,2,1,4,3,4,4,4,4,4,2,4,4,3,0.53,0.53,0.8,0.67,0.73
"31",19,"Female","US",4,1,4,4,5,4,5,5,4,1,3,1,5,3,5,0.6,0.87,0.93,0.33,0.87
"32",22,"Female","US",2,3,3,5,5,2,3,4,5,3,5,3,5,5,5,0.53,0.8,0.8,0.73,1
"33",25,"Male","US",4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,0.8,0.53,0.8,0.8,0.67
"34",20,"Female","US",5,4,5,4,4,4,5,4,4,2,1,1,4,4,4,0.93,0.8,0.87,0.27,0.8
"35",15,"Female","GB",1,3,3,3,4,3,3,3,3,2,3,2,4,3,3,0.47,0.67,0.6,0.47,0.67
"36",46,"Female","US",1,3,3,4,5,5,3,5,3,5,5,4,4,5,3,0.47,0.93,0.73,0.93,0.8
"37",15,"Male","GB",1,2,2,1,4,2,5,5,1,5,5,2,5,5,5,0.33,0.47,0.73,0.8,1
"38",18,"Female","US",2,3,4,2,3,2,4,4,5,4,4,4,5,4,5,0.6,0.47,0.87,0.8,0.93
"39",42,"Male","US",2,2,2,3,3,2,3,3,2,3,3,2,3,4,4,0.4,0.53,0.53,0.53,0.73
"40",27,"Female","US",1,2,2,3,5,2,4,4,3,4,5,4,4,4,4,0.33,0.67,0.73,0.87,0.8
"41",17,"Male","US",5,1,5,1,1,1,1,1,5,5,5,1,5,5,5,0.73,0.2,0.47,0.73,1
"42",17,"Female","US",4,3,3,5,5,5,5,4,3,4,4,4,1,4,2,0.67,1,0.8,0.8,0.47
"43",17,"Female","US",2,2,2,3,4,3,3,4,3,4,5,2,4,4,5,0.4,0.67,0.67,0.73,0.87
"44",60,"Female","US",3,5,5,2,5,4,5,5,5,5,5,5,4,5,5,0.87,0.73,1,1,0.93
"45",27,"Female","CA",1,4,3,4,5,5,5,5,5,5,4,4,5,5,2,0.53,0.93,1,0.87,0.8
"46",19,"Female","US",4,4,5,5,4,3,4,4,4,5,3,5,4,4,5,0.87,0.8,0.8,0.87,0.87
"47",20,"Male","US",1,2,2,3,3,2,3,2,3,3,4,2,5,3,3,0.33,0.53,0.53,0.6,0.73
"48",19,"Male","IN",2,5,5,1,2,1,5,4,5,5,5,5,3,5,4,0.8,0.27,0.93,1,0.8
"49",26,"Female","US",1,1,1,5,5,5,3,4,3,1,2,3,5,2,4,0.2,1,0.67,0.4,0.73
"50",24,"Male","MX",1,3,4,4,5,4,3,4,2,4,4,2,5,5,5,0.53,0.87,0.6,0.67,1
"51",19,"Female","US",1,2,1,5,5,4,4,5,2,4,5,4,4,4,4,0.27,0.93,0.73,0.87,0.8
"52",18,"Female","GB",2,2,2,5,5,5,2,2,3,1,3,2,5,4,5,0.4,1,0.47,0.4,0.93
"53",14,"Female","US",2,2,4,4,4,5,4,2,2,2,5,2,4,3,5,0.53,0.87,0.53,0.6,0.8
"54",25,"Female","IN",2,4,4,5,2,2,5,5,5,5,4,4,1,4,4,0.67,0.6,1,0.87,0.6
"55",47,"Male","US",4,3,2,4,4,3,5,2,3,5,4,4,4,4,5,0.6,0.73,0.67,0.87,0.87
"56",18,"Male","US",2,2,2,4,4,4,2,4,3,3,3,2,4,4,3,0.4,0.8,0.6,0.53,0.73
"57",23,"Male","SE",2,4,2,5,5,5,4,2,3,4,5,5,5,3,4,0.53,1,0.6,0.93,0.8
"58",14,"Other","GB",2,2,2,5,4,3,4,3,2,2,3,2,3,4,2,0.4,0.8,0.6,0.47,0.6
"59",20,"Female","US",1,2,1,5,5,4,5,5,3,4,2,4,5,5,4,0.27,0.93,0.87,0.67,0.93
"60",35,"Female","US",4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,0.93,1,1,0.8,1
"61",34,"Female","US",4,4,5,2,4,3,5,5,4,4,4,4,4,3,3,0.87,0.6,0.93,0.8,0.67
"62",36,"Female","JO",5,5,5,5,5,5,5,5,5,4,5,2,5,2,3,1,1,1,0.73,0.67
"63",15,"Male","US",3,3,2,4,4,4,4,4,2,3,4,2,5,2,4,0.53,0.8,0.67,0.6,0.73
"64",20,"Male","US",4,4,4,1,2,2,5,5,4,4,5,3,3,4,4,0.8,0.33,0.93,0.8,0.73
"65",54,"Female","CA",2,4,2,3,3,1,3,3,5,4,5,4,5,4,5,0.53,0.47,0.73,0.87,0.93
"66",47,"Male","US",2,5,4,3,4,2,4,5,4,2,3,2,4,5,4,0.73,0.6,0.87,0.47,0.87
"67",17,"Male","IN",3,4,3,5,5,5,5,5,5,3,5,3,5,3,3,0.67,1,1,0.73,0.73
"68",45,"Male","US",4,4,3,2,4,2,3,5,5,4,5,5,4,5,3,0.73,0.53,0.87,0.93,0.8
"69",32,"Female","US",2,5,4,5,5,4,4,4,2,4,5,5,2,4,2,0.73,0.93,0.67,0.93,0.53
"70",23,"Female","NO",3,5,5,3,4,3,5,5,4,2,4,1,4,4,3,0.87,0.67,0.93,0.47,0.73
"71",23,"Female","US",4,4,4,4,5,2,5,5,5,3,4,3,4,4,4,0.8,0.73,1,0.67,0.8
"72",14,"Female","US",1,2,4,5,5,5,3,5,3,4,3,5,5,4,5,0.47,1,0.73,0.8,0.93
"73",19,"Male","IE",5,2,2,4,5,3,4,5,3,3,3,2,5,5,4,0.6,0.8,0.8,0.53,0.93
"74",15,"Female","NZ",1,2,3,5,5,5,5,5,3,3,3,3,4,3,3,0.4,1,0.87,0.6,0.67
"75",49,"Female","FI",3,4,5,4,4,2,4,4,4,2,3,2,4,5,4,0.8,0.67,0.8,0.47,0.87
"76",47,"Female","US",1,2,1,5,3,4,4,4,5,3,5,3,5,5,5,0.27,0.8,0.87,0.73,1
"77",23,"Female","BE",3,4,4,5,5,5,5,5,5,4,5,3,3,4,3,0.73,1,1,0.8,0.67
"78",19,"Female","FI",1,2,2,5,5,4,2,2,2,4,5,4,5,4,4,0.33,0.93,0.4,0.87,0.87
"79",36,"Male","US",3,1,5,4,5,3,5,4,3,5,4,5,3,4,4,0.6,0.8,0.8,0.93,0.73
"80",21,"Female","GB",2,4,4,5,5,5,5,5,3,4,2,2,5,5,4,0.67,1,0.87,0.53,0.93
"81",21,"Female","BE",3,3,5,5,5,5,5,5,3,3,5,5,5,5,5,0.73,1,0.87,0.87,1
"82",13,"Male","GB",3,3,3,5,5,5,2,3,4,3,4,3,4,4,3,0.6,1,0.6,0.67,0.73
"83",21,"Female","US",3,3,3,3,3,3,3,4,4,3,4,3,4,4,4,0.6,0.6,0.73,0.67,0.8
"84",32,"Male","HR",4,5,5,1,3,1,4,4,5,5,5,5,3,5,3,0.93,0.33,0.87,1,0.73
"85",33,"Female","US",4,5,5,3,4,3,5,5,5,3,4,4,5,5,5,0.93,0.67,1,0.73,1
"86",33,"Male","US",3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,0.73,0.53,0.8,0.8,0.8
"87",16,"Male","GB",2,2,2,3,4,4,3,4,2,2,3,3,5,4,3,0.4,0.73,0.6,0.53,0.8
"88",21,"Female","BE",3,2,4,4,5,3,1,4,4,3,5,2,5,5,4,0.6,0.8,0.6,0.67,0.93
"89",31,"Female","NO",3,5,5,1,2,2,3,4,3,3,2,2,3,5,5,0.87,0.33,0.67,0.47,0.87
"90",17,"Male","US",1,1,1,4,5,3,5,5,4,1,5,1,5,4,5,0.2,0.8,0.93,0.47,0.93
"91",26,"Female","GB",2,3,3,3,3,3,4,5,4,3,4,4,2,4,2,0.53,0.6,0.87,0.73,0.53
"92",34,"Male","BE",4,3,4,5,5,4,5,5,5,4,5,4,5,5,5,0.73,0.93,1,0.87,1
"93",21,"Female","ZA",1,5,5,1,3,1,5,3,3,5,5,5,4,5,4,0.73,0.33,0.73,1,0.87
"94",26,"Female","US",5,5,3,1,1,1,5,2,4,4,4,4,4,5,4,0.87,0.2,0.73,0.8,0.87
"95",22,"Female","NO",2,3,4,1,2,1,3,3,5,5,4,2,4,3,3,0.6,0.27,0.73,0.73,0.67
"96",19,"Female","NO",1,2,2,5,5,4,4,5,3,2,4,2,4,3,3,0.33,0.93,0.8,0.53,0.67
"97",19,"Male","FI",4,2,2,2,2,3,4,4,3,3,3,2,4,4,3,0.53,0.47,0.73,0.53,0.73
"98",21,"Female","US",4,5,5,3,3,4,5,5,4,3,4,3,5,5,5,0.93,0.67,0.93,0.67,1
"99",49,"Male","BE",3,5,4,3,3,1,5,4,5,4,5,5,4,4,5,0.8,0.47,0.93,0.93,0.87
"100",18,"Female","US",3,4,5,4,4,3,5,5,5,4,5,4,5,5,5,0.8,0.73,1,0.87,1
"101",32,"Female","US",1,2,1,4,4,4,3,4,3,4,3,4,3,4,2,0.27,0.8,0.67,0.73,0.6
"102",60,"Female","US",1,5,5,4,4,4,5,5,5,2,5,5,5,5,5,0.73,0.8,1,0.8,1
"103",22,"Female","IE",1,2,3,5,5,5,4,4,5,2,4,2,5,5,3,0.4,1,0.87,0.53,0.87
"104",24,"Male","PL",1,1,2,2,2,2,2,1,3,4,4,4,3,5,4,0.27,0.4,0.4,0.8,0.8
"105",16,"Female","BR",2,3,3,3,4,2,5,5,3,3,3,4,4,4,5,0.53,0.6,0.87,0.67,0.87
"106",20,"Male","SK",2,2,3,4,4,3,3,2,3,3,3,2,4,4,4,0.47,0.73,0.53,0.53,0.8
"107",47,"Female","US",3,3,3,2,3,2,4,4,4,2,3,3,4,4,4,0.6,0.47,0.8,0.53,0.8
"108",15,"Female","US",2,2,3,5,4,2,3,3,3,4,4,4,3,5,3,0.47,0.73,0.6,0.8,0.73
"109",17,"Female","US",1,3,3,4,5,3,2,2,3,3,4,1,3,3,1,0.47,0.8,0.47,0.53,0.47
"110",13,"Female","US",5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,0.2,1,1,1
"111",16,"Female","HR",4,1,2,5,5,2,5,2,3,5,2,4,5,5,3,0.47,0.8,0.67,0.73,0.87
"112",23,"Female","SA",1,2,4,3,2,2,3,2,4,4,2,1,3,3,3,0.47,0.47,0.6,0.47,0.6
"113",30,"Female","US",5,5,5,3,3,1,5,5,5,4,3,3,4,4,5,1,0.47,1,0.67,0.87
"114",17,"Female","US",3,4,5,4,5,2,5,4,4,1,4,4,5,4,5,0.8,0.73,0.87,0.6,0.93
"115",20,"Female","US",2,3,3,4,4,3,4,4,4,4,3,4,4,3,3,0.53,0.73,0.8,0.73,0.67
"116",25,"Male","US",2,2,4,4,5,4,4,4,2,4,4,4,5,4,4,0.53,0.87,0.67,0.8,0.87
"117",27,"Male","BR",4,4,4,4,3,3,3,2,4,4,4,2,5,4,5,0.8,0.67,0.6,0.67,0.93
"118",25,"Female","US",1,2,2,4,4,2,4,4,3,5,5,5,4,4,3,0.33,0.67,0.73,1,0.73
"119",21,"Female","US",3,3,4,4,4,3,5,5,3,4,4,4,4,4,2,0.67,0.73,0.87,0.8,0.67
"120",59,"Male","IE",1,4,4,1,2,2,4,4,3,3,2,4,5,3,5,0.6,0.33,0.73,0.6,0.87
"121",30,"Female","US",4,5,4,2,2,2,5,4,4,4,5,3,5,5,5,0.87,0.4,0.87,0.8,1
"122",37,"Female","US",5,5,5,1,3,5,3,2,5,1,1,3,1,5,5,1,0.6,0.67,0.33,0.73
"123",27,"Female","NZ",2,3,3,5,5,3,4,4,4,3,3,3,4,3,4,0.53,0.87,0.8,0.6,0.73
"124",41,"Female","US",2,3,2,4,4,4,4,4,3,5,5,5,3,4,3,0.47,0.8,0.73,1,0.67
"125",18,"Male","GB",4,5,3,3,3,1,3,2,5,3,4,2,5,4,5,0.8,0.47,0.67,0.6,0.93
"126",21,"Female","US",3,3,4,5,5,4,4,5,4,2,4,2,4,3,4,0.67,0.93,0.87,0.53,0.73
"127",15,"Female","US",5,5,3,3,5,1,3,5,5,4,5,5,4,5,4,0.87,0.6,0.87,0.93,0.87
"128",18,"Female","BR",2,1,4,5,4,4,2,3,3,3,4,3,5,4,5,0.47,0.87,0.53,0.67,0.93
"129",20,"Male","GB",4,5,5,1,4,1,5,5,4,3,4,2,4,4,4,0.93,0.4,0.93,0.6,0.8
"130",35,"Male","US",5,5,5,1,5,1,5,5,5,4,4,5,5,5,5,1,0.47,1,0.87,1
"131",24,"Female","GB",2,2,3,4,4,3,3,3,2,1,3,1,4,3,3,0.47,0.73,0.53,0.33,0.67
"132",33,"Female","US",5,4,5,5,4,4,5,5,2,1,3,4,3,4,4,0.93,0.87,0.8,0.53,0.73
"133",20,"Female","PH",3,2,2,3,4,2,3,3,2,3,4,4,4,3,3,0.47,0.6,0.53,0.73,0.67
"134",59,"Female","US",1,4,4,2,1,2,4,4,4,4,4,2,3,4,3,0.6,0.33,0.8,0.67,0.67
"135",19,"Female","CA",5,5,5,4,5,2,3,3,4,2,4,3,5,3,4,1,0.73,0.67,0.6,0.8
"136",26,"Male","BR",2,2,2,3,4,4,3,3,2,4,4,4,5,4,5,0.4,0.73,0.53,0.8,0.93
"137",24,"Female","CA",3,4,4,3,3,2,3,5,5,5,5,5,5,5,4,0.73,0.53,0.87,1,0.93
"138",31,"Female","US",5,5,5,4,4,4,5,5,5,3,3,3,5,5,5,1,0.8,1,0.6,1
"139",30,"Female","US",1,3,3,4,5,2,5,5,5,2,3,1,5,4,5,0.47,0.73,1,0.4,0.93
"140",18,"Female","US",1,2,2,4,5,4,3,2,2,4,5,3,4,3,3,0.33,0.87,0.47,0.8,0.67
"141",24,"Female","US",3,4,3,4,5,3,4,4,5,5,5,5,5,4,4,0.67,0.8,0.87,1,0.87
"142",13,"Female","US",4,5,4,2,3,2,5,5,4,4,5,4,5,5,5,0.87,0.47,0.93,0.87,1
"143",19,"Female","US",3,5,5,3,3,1,5,5,4,3,2,2,3,4,4,0.87,0.47,0.93,0.47,0.73
"144",20,"Female","US",2,2,2,5,5,3,2,2,4,4,4,2,4,4,4,0.4,0.87,0.53,0.67,0.8
"145",13,"Female","US",3,4,4,2,5,4,4,5,2,4,4,4,4,4,4,0.73,0.73,0.73,0.8,0.8
"146",16,"Female","US",4,3,5,4,2,3,2,3,3,1,2,1,4,3,5,0.8,0.6,0.53,0.27,0.8
"147",17,"Female","AU",1,5,5,1,4,3,5,5,5,2,5,1,5,5,1,0.73,0.53,1,0.53,0.73
"148",27,"Female","US",3,5,5,3,2,3,5,4,4,2,2,3,4,4,3,0.87,0.53,0.87,0.47,0.73
"149",20,"Female","US",1,4,4,4,4,2,4,4,4,2,3,4,5,4,4,0.6,0.67,0.8,0.6,0.87
"150",44,"Female","JP",2,3,4,4,2,4,4,5,4,2,2,4,3,4,3,0.6,0.67,0.87,0.53,0.67
"151",21,"Female","CA",4,4,4,4,4,4,4,4,4,3,2,2,3,3,2,0.8,0.8,0.8,0.47,0.53
"152",21,"Female","CA",3,4,5,3,4,4,5,4,4,5,4,4,3,5,4,0.8,0.73,0.87,0.87,0.8
"153",23,"Male","IN",2,4,3,3,4,2,5,3,4,4,2,4,2,4,4,0.6,0.6,0.8,0.67,0.67
"154",24,"Female","US",1,1,3,5,5,5,2,4,5,4,5,4,5,4,5,0.33,1,0.73,0.87,0.93
"155",39,"Male","CA",2,2,4,2,4,2,4,4,4,3,2,3,4,4,4,0.53,0.53,0.8,0.53,0.8
"156",45,"Female","US",1,2,2,4,4,3,5,4,2,4,5,3,3,5,4,0.33,0.73,0.73,0.8,0.8
"157",45,"Female","US",3,5,5,3,3,3,5,5,4,3,3,1,3,4,3,0.87,0.6,0.93,0.47,0.67
"158",20,"Male","US",3,5,5,2,4,1,5,5,5,3,5,4,5,4,5,0.87,0.47,1,0.8,0.93
"159",21,"Female","US",2,2,3,5,5,4,3,4,3,3,4,5,5,3,4,0.47,0.93,0.67,0.8,0.8
"160",23,"Female","ID",2,3,2,3,3,2,4,4,4,5,4,5,5,4,4,0.47,0.53,0.8,0.93,0.87
"161",23,"Female","PH",2,5,4,4,5,4,5,5,5,5,4,5,5,5,5,0.73,0.87,1,0.93,1
"162",22,"Female","US",1,3,1,5,5,5,2,5,3,1,4,1,5,3,4,0.33,1,0.67,0.4,0.8
"163",16,"Female","US",4,5,5,4,4,4,5,4,5,3,4,4,4,5,5,0.93,0.8,0.93,0.73,0.93
"164",20,"Male","AU",4,5,5,3,2,1,4,5,5,2,2,1,5,4,5,0.93,0.4,0.93,0.33,0.93
"165",33,"Female","IN",2,4,4,1,2,2,4,5,5,4,4,4,2,4,4,0.67,0.33,0.93,0.8,0.67
"166",17,"Female","AU",4,3,4,4,4,2,5,4,4,2,5,2,5,2,4,0.73,0.67,0.87,0.6,0.73
"167",17,"Unanswered","CA",1,3,2,3,4,3,4,3,3,3,4,4,5,4,5,0.4,0.67,0.67,0.73,0.93
"168",20,"Female","US",2,4,4,5,5,5,5,5,4,4,4,4,4,4,4,0.67,1,0.93,0.8,0.8
"169",59,"Female","US",1,3,1,1,1,1,4,3,4,1,2,1,5,3,4,0.33,0.2,0.73,0.27,0.8
"170",25,"Male","CA",5,4,5,1,3,2,5,5,5,4,4,5,5,5,5,0.93,0.4,1,0.87,1
"171",18,"Female","AU",1,1,1,5,5,3,2,2,3,4,4,3,5,3,5,0.2,0.87,0.47,0.73,0.87
"172",27,"Male","US",1,3,3,3,5,4,5,4,5,3,4,3,4,5,4,0.47,0.8,0.93,0.67,0.87
"173",24,"Female","CA",3,2,1,3,4,3,4,4,3,2,4,3,3,3,3,0.4,0.67,0.73,0.6,0.6
"174",29,"Male","US",5,5,5,1,5,1,5,4,5,5,5,1,5,5,5,1,0.47,0.93,0.73,1
"175",16,"Female","US",2,3,3,1,2,1,3,2,5,5,4,4,4,3,4,0.53,0.27,0.67,0.87,0.73
"176",29,"Male","US",2,3,4,2,4,2,4,5,3,3,4,4,4,4,4,0.6,0.53,0.8,0.73,0.8
"177",33,"Female","US",2,2,5,5,5,5,3,4,3,3,2,1,5,1,5,0.6,1,0.67,0.4,0.73
"178",21,"Male","IN",4,4,2,3,4,2,4,4,2,3,4,3,4,5,4,0.67,0.6,0.67,0.67,0.87
"179",26,"Male","US",3,4,4,4,4,3,4,4,4,4,4,3,5,4,4,0.73,0.73,0.8,0.73,0.87
"180",21,"Male","IN",1,2,3,2,3,4,4,4,3,2,4,2,4,4,5,0.4,0.6,0.73,0.53,0.87
"181",26,"Female","IN",3,5,4,3,2,3,2,4,5,3,4,4,5,5,5,0.8,0.53,0.73,0.73,1
"182",14,"Male","US",3,3,5,4,5,2,3,1,2,4,2,1,5,5,5,0.73,0.73,0.4,0.47,1
"183",13,"Male","US",1,3,3,5,5,5,3,2,3,4,4,3,5,4,4,0.47,1,0.53,0.73,0.87
"184",30,"Male","SE",4,5,5,1,1,1,5,5,5,5,5,1,5,5,5,0.93,0.2,1,0.73,1
"185",27,"Male","US",3,2,4,5,5,4,4,4,4,2,4,3,4,5,4,0.6,0.93,0.8,0.6,0.87
"186",17,"Male","US",2,2,3,5,5,4,4,4,1,2,4,3,5,5,5,0.47,0.93,0.6,0.6,1
"187",17,"Female","US",5,5,5,3,3,3,4,3,3,3,3,2,3,5,3,1,0.6,0.67,0.53,0.73
"188",19,"Female","AU",3,4,3,1,2,3,4,4,3,3,4,2,2,4,3,0.67,0.4,0.73,0.6,0.6
"189",18,"Male","US",1,4,1,3,3,1,3,1,2,2,5,3,3,5,5,0.4,0.47,0.4,0.67,0.87
"190",23,"Female","MY",1,2,4,5,2,3,3,4,3,3,3,5,4,3,2,0.47,0.67,0.67,0.73,0.6
"191",20,"Female","IN",5,5,1,5,1,1,5,5,5,1,5,4,5,4,4,0.73,0.47,1,0.67,0.87
"192",19,"Female","MY",4,3,3,4,4,5,4,4,5,3,3,3,4,5,4,0.67,0.87,0.87,0.6,0.87
"193",23,"Male","IN",4,4,4,1,3,2,4,5,4,3,4,4,4,4,4,0.8,0.4,0.87,0.73,0.8
"194",14,"Male","US",1,3,1,2,3,3,2,1,3,3,5,3,5,4,5,0.33,0.53,0.4,0.73,0.93
"195",18,"Male","IN",1,4,1,3,5,3,4,4,3,2,5,1,4,2,5,0.4,0.73,0.73,0.53,0.73
"196",18,"Female","US",4,5,5,1,1,1,5,4,5,2,2,1,5,3,3,0.93,0.2,0.93,0.33,0.73
"197",16,"Male","KW",2,3,1,4,5,4,3,2,4,2,4,1,4,3,4,0.4,0.87,0.6,0.47,0.73
"198",23,"Female","OM",3,4,3,2,4,4,4,4,5,5,5,5,4,3,3,0.67,0.67,0.87,1,0.67
"199",22,"Female","IN",5,5,5,3,3,3,5,5,4,5,5,5,3,5,3,1,0.6,0.93,1,0.73
"200",19,"Male","US",1,2,2,2,2,2,4,4,4,3,3,3,5,3,5,0.33,0.4,0.8,0.6,0.87
"201",21,"Male","US",3,3,3,3,5,4,4,4,3,4,5,2,4,4,5,0.6,0.8,0.73,0.73,0.87
"202",19,"Male","MY",1,1,1,5,5,5,1,3,3,3,3,2,5,3,1,0.2,1,0.47,0.53,0.6
"203",14,"Male","AU",1,5,3,3,5,5,5,5,4,1,3,3,4,3,4,0.6,0.87,0.93,0.47,0.73
"204",39,"Female","AU",5,5,5,5,5,3,5,5,5,3,4,3,5,5,5,1,0.87,1,0.67,1
"205",26,"Male","DK",1,2,1,1,5,1,3,5,1,3,5,3,5,1,3,0.27,0.47,0.6,0.73,0.6
"206",48,"Male","GB",1,5,4,1,3,2,5,4,4,4,4,4,5,5,5,0.67,0.4,0.87,0.8,1
"207",33,"Female","NZ",1,2,4,3,4,4,3,2,2,3,4,4,3,4,3,0.47,0.73,0.47,0.73,0.67
"208",20,"Male","ID",2,2,3,1,4,3,3,2,4,5,3,3,4,3,3,0.47,0.53,0.6,0.73,0.67
"209",22,"Female","DK",4,5,4,3,4,2,5,5,5,4,4,5,3,4,4,0.87,0.6,1,0.87,0.73
"210",21,"Male","TR",1,5,2,3,5,1,1,1,1,5,5,5,3,5,3,0.53,0.6,0.2,1,0.73
"211",29,"Female","GB",1,4,2,4,5,4,2,2,2,5,5,4,4,2,3,0.47,0.87,0.4,0.93,0.6
"212",43,"Male","AU",3,4,4,4,4,4,4,4,4,3,3,2,4,4,4,0.73,0.8,0.8,0.53,0.8
"213",13,"Female","SG",1,2,4,3,5,4,4,2,4,3,5,2,4,5,5,0.47,0.8,0.67,0.67,0.93
"214",22,"Male","IN",2,2,5,1,4,5,3,5,4,3,3,3,2,4,4,0.6,0.67,0.8,0.6,0.67
"215",23,"Female","GB",4,3,4,3,5,5,5,5,4,5,5,3,5,2,3,0.73,0.87,0.93,0.87,0.67
"216",24,"Male","LT",3,3,3,1,4,3,4,5,2,3,5,5,4,3,1,0.6,0.53,0.73,0.87,0.53
"217",39,"Male","GB",2,2,2,4,5,4,4,5,3,5,5,4,5,4,5,0.4,0.87,0.8,0.93,0.93
"218",29,"Female","AU",4,3,5,4,5,1,5,5,4,4,5,3,5,4,5,0.8,0.67,0.93,0.8,0.93
"219",39,"Male","IE",2,4,5,4,5,2,4,5,4,3,4,2,5,4,2,0.73,0.73,0.87,0.6,0.73
"220",26,"Female","US",2,2,2,4,4,4,2,4,3,2,4,2,2,2,2,0.4,0.8,0.6,0.53,0.4
"221",17,"Female","GB",4,3,4,5,5,5,5,4,4,3,5,1,5,5,5,0.73,1,0.87,0.6,1
"222",18,"Female","AU",5,5,5,4,5,4,5,5,4,3,4,3,3,4,3,1,0.87,0.93,0.67,0.67
"223",17,"Female","IL",3,4,4,3,3,3,4,2,4,5,2,1,4,4,5,0.73,0.6,0.67,0.53,0.87
"224",26,"Female","IN",5,5,5,1,3,5,5,3,3,5,5,4,3,5,3,1,0.6,0.73,0.93,0.73
"225",17,"Male","GB",2,3,2,4,5,3,5,5,3,3,4,3,5,2,5,0.47,0.8,0.87,0.67,0.8
"226",16,"Female","GB",4,2,2,3,5,5,3,2,2,5,4,4,3,3,2,0.53,0.87,0.47,0.87,0.53
"227",17,"Female","GB",2,4,3,5,5,3,4,5,4,5,4,4,5,4,3,0.6,0.87,0.87,0.87,0.8
"228",35,"Male","PL",3,5,3,1,1,4,4,2,3,4,2,2,4,5,5,0.73,0.4,0.6,0.53,0.93
